whs_source_page,comments,whs_site_id,latitude,longitude,name,edited name,wikipedia_link,Country,iso_code,Criteria,Date of Inscription,size_has,Region,Edited region
http://whc.unesco.org/en/list/124,,124,-20.388889,-43.505556,Historic Town of Ouro Preto,Historic Town of Ouro Preto,http://en.wikipedia.org/wiki/Ouro_Preto,Brazil,BR,"i,iii",1980,,State of Minas Gerais,State of Minas Gerais
http://whc.unesco.org/en/list/983,,983,32.379444,-64.677778,"Historic Town of St George and Related Fortifications, Bermuda","Historic Town of St George and Related Fortifications, Bermuda","http://en.wikipedia.org/wiki/St._George%27s,_Bermuda",United Kingdom of Great Britain and Northern Ireland,GB,iv,2000,258,"St George, Bermuda","St George, Bermuda"
http://whc.unesco.org/en/list/574,,574,17.00722,99.78972,Historic Town of Sukhothai and Associated Historic Towns,Historic Town of Sukhothai and Associated Historic Towns,http://en.wikipedia.org/wiki/Historic_Town_of_Sukhothai_and_Associated_Historic_Towns,Thailand,TH,"i,iii",1991,11852,Sukhothai and Kamphaeng Phet Provinces,Sukhothai and Kamphaeng Phet Provinces
http://whc.unesco.org/en/list/502,,502,17.575,120.3875,Historic Town of Vigan,Historic Town of Vigan,http://en.wikipedia.org/wiki/Vigan,Philippines,PH,"ii,iv",1999,,Province of Ilocos Sur,Province of Ilocos Sur
http://whc.unesco.org/en/list/611,,611,14.19806,43.33,Historic Town of Zabid,Historic Town of Zabid,http://en.wikipedia.org/wiki/Zab%25C4%25ABd,Yemen,YE,"ii,iv,vi",1993,,Province d'al-Hudayda,Province d'al-Hudayda
http://whc.unesco.org/en/list/1324,,1324,36.539167,128.516667,Historic Villages of Korea: Hahoe and Yangdong,Historic Villages of Korea: Hahoe and Yangdong,http://en.wikipedia.org/wiki/Yangdong_Folk_Village,"Korea, Republic of",KR,"iii,iv",,600,N36 32 21 E128 31 0,N36 32 21 E128 31 0
http://whc.unesco.org/en/list/734,,734,36.4,136.883333,Historic Villages of Shirakawa-go and Gokayama,Historic Villages of Shirakawa-go and Gokayama,http://en.wikipedia.org/wiki/Historic_Villages_of_Shirakawa-g%25C5%258D_and_Gokayama,Japan,JP,"iv,v",1995,68,Gifu and Toyama prefectures,Gifu and Toyama prefectures
http://whc.unesco.org/en/list/781,,781,40.07662,-2.13174,Historic Walled Town of Cuenca,Historic Walled Town of Cuenca,"http://en.wikipedia.org/wiki/Cuenca,_Spain",Spain,ES,"ii,v",1996,,"Province of Cuenca, Autonomous Community of Castile-La Mancha","Province of Cuenca, Autonomous Community of Castile-La Mancha"
http://whc.unesco.org/en/list/1016,,1016,-16.4,-71.533333,Historical Centre of the City of Arequipa,Historical Centre of the City of Arequipa,http://en.wikipedia.org/wiki/Arequipa,Peru,PE,"i,iv",2000,167,Province of Arequipa,Province of Arequipa
http://whc.unesco.org/en/list/1170,,1170,57.65278,39.87611,Historical Centre of the City of Yaroslavl,Historical Centre of the City of Yaroslavl,http://en.wikipedia.org/wiki/Yaroslavl,Russian Federation,RU,"ii,iv",2005,,Yaroslavl Oblast,Yaroslavl Oblast
http://whc.unesco.org/en/list/97,,97,43.50944,16.44333,Historical Complex of Split with the Palace of Diocletian,Historical Complex of Split with the Palace of Diocletian,http://en.wikipedia.org/wiki/Diocletian%27s_Palace,Croatia,HR,"ii,iii,iv",1979,21,County of Split-Dalmatia,County of Split-Dalmatia
http://whc.unesco.org/en/list/143,,143,24.766667,67.9,"Historical Monuments at Makli, Thatta","Historical Monuments at Makli, Thatta",http://en.wikipedia.org/wiki/Thatta,Pakistan,PK,iii,1981,,Province of Sind,Province of Sind
http://whc.unesco.org/en/list/708,,708,41.84389,44.71639,Historical Monuments of Mtskheta,Historical Monuments of Mtskheta,http://en.wikipedia.org/wiki/Mtskheta,Georgia,GE,"iii,iv",1994,,"City of Mtskheta, Region of Mtskheta-Mtianeti","City of Mtskheta, Region of Mtskheta-Mtianeti"
http://whc.unesco.org/en/list/948,,948,15.883333,108.333333,Hoi An Ancient Town,Hoi An Ancient Town,http://en.wikipedia.org/wiki/H%25E1%25BB%2599i_An,Viet Nam,VN,"ii,v",1999,30,"Hoi An Town, Quang Nam Province","Hoi An Town, Quang Nam Province"
http://whc.unesco.org/en/list/861,,861,48.959722,14.252778,HolaÅ¡ovice Historical Village Reservation,Holašovice Historical Village Reservation,http://en.wikipedia.org/wiki/Hola%C5%A1ovice,Czech Republic,CZ,"ii,iv",1998,11,South Bohemian Region,South Bohemian Region
http://whc.unesco.org/en/list/859,,859,49.59861,17.26944,Holy Trinity Column in Olomouc,Holy Trinity Column in Olomouc,http://en.wikipedia.org/wiki/Holy_Trinity_Column_in_Olomouc,Czech Republic,CZ,"i,iv",2000,0.02,Olomouc Region,Olomouc Region
http://whc.unesco.org/en/list/474,,474,47.59458,21.15678,HortobÃ¡gy National Park - the Puszta,Hortobágy National Park - the Puszta,http://en.wikipedia.org/wiki/Hortob%C3%A1gy,Hungary,HU,"iv,v",1999,,"Counties of Borsod-AbaÃºj-ZemplÃ©n, Heves, HajdÃº-Bihar and JÃ¡sz-Nagykun-Szolnok","Counties of Borsod-AbaÃºj-ZemplÃ©n, Heves, HajdÃº-Bihar and JÃ¡sz-Nagykun-Szolnok"
http://whc.unesco.org/en/list/815,,815,20.673889,-103.339722,"Hospicio CabaÃ±as, Guadalajara","Hospicio Cabañas, Guadalajara",http://en.wikipedia.org/wiki/Hospicio_Caba%25C3%25B1as,Mexico,MX,"i,ii,iii,iv",1997,,"Jalisco, Guadalajara","Jalisco, Guadalajara"
http://whc.unesco.org/en/list/638,,638,32.75417,103.82222,Huanglong Scenic and Historic Interest Area,Huanglong Scenic and Historic Interest Area,http://en.wikipedia.org/wiki/Huanglong,China,CN,vii,1992,60000,"Songpan County, Sichuan Province","Songpan County, Sichuan Province"
http://whc.unesco.org/en/list/333,,333,-9.33333,-77.4,HuascarÃ¡n National Park,Huascarán National Park,http://en.wikipedia.org/wiki/Huascar%25C3%25A1n,Peru,PE,"vii,viii",1985,340000,"Department Ancash, Provincia: recuay, Carhuas, HuarÃ¡z, Yungay, Pomabamba, Mariscal Luzuriaga, Huari, Corongo, Sihuas y Bolognesi","Department Ancash, Provincia: recuay, Carhuas, HuarÃ¡z, Yungay, Pomabamba, Mariscal Luzuriaga, Huari, Corongo, Sihuas y Bolognesi"
http://whc.unesco.org/en/list/232,,232,28.59333,77.25056,"Humayun's Tomb, Delhi","Humayun's Tomb, Delhi",http://en.wikipedia.org/wiki/Humayun%27s_Tomb,India,IN,"ii,iv",1993,,Delhi,Delhi
http://whc.unesco.org/en/list/1178,,1178,-20.20582,-69.79406,Humberstone and Santa Laura Saltpeter Works,Humberstone and Santa Laura Saltpeter Works,http://en.wikipedia.org/wiki/Humberstone_and_Santa_Laura_Saltpeter_Works,Chile,CL,"ii,iii,iv",2005,,Province of Iquique,Province of Iquique
