_SourcePage,name,wikipedia_link,Coordinates,Country,Criteria,Date of Inscription,size_has,Ref,Region
http://whc.unesco.org/en/list/1,GalÃ¡pagos Islands,http://en.wikipedia.org/wiki/Gal%25C3%25A1pagos_Islands,N0 49 0.012 W91 0 0,Ecuador,(vii)(viii)(ix)(x),1978,1.4066514E7,1.0,"Cantons: San Cristobal, Santa Cruz and Isabela, Province of Galapagos"
http://whc.unesco.org/en/list/1253,"Gamzigrad-Romuliana, Palace of Galerius",http://en.wikipedia.org/wiki/Gamzigrad,N43 53 57.5 E22 11 10,Serbia,(iii)(iv),2007,179.0,1253.0,Eastern Serbia
http://whc.unesco.org/en/list/380,Garajonay National Park,http://en.wikipedia.org/wiki/Garajonay_National_Park,N28 7 34.5 W17 14 14,Spain,(vii)(ix),1986,3984.0,380.0,"Island of La Gomera, Province of Santa Cruz de Tenerife, Canary Islands"
http://whc.unesco.org/en/list/136,Garamba National Park,http://en.wikipedia.org/wiki/Garamba_National_Park,N4 0 0 E29 15 0,Democratic Republic of the Congo,(vii)(x),1980,500000.0,136.0,Orientale Province
http://whc.unesco.org/en/list/534,Garden Kingdom of Dessau-WÃ¶rlitz,http://en.wikipedia.org/wiki/Dessau-W%25C3%25B6rlitz_Garden_Realm,N51 50 33 E12 25 14.988,Germany,(ii)(iv),2000,14500.0,534.0,State of Saxony-Anhalt (Sachsen-Anhalt)
http://whc.unesco.org/en/list/860,Gardens and Castle at KromÄÅÃ­Å¾,http://en.wikipedia.org/wiki/Krom%C4%9B%C5%99%C3%AD%C5%BE_Archbishop's_Palace,N49 17 60 E17 22 38,Czech Republic,(ii)(iv),1998,75.0,860.0,"City and District of KromÄÅÃ­Å¾, Zlin Region"
http://whc.unesco.org/en/list/1073,Gebel Barkal and the Sites of the Napatan Region,http://en.wikipedia.org/wiki/Jebel_Barkal,N18 31 60 E31 49 0,Sudan,(i)(ii)(iii)(iv)(vi),2003,183.0,1073.0,"Northern state, province of Meroe"
http://whc.unesco.org/en/list/1211,Genoa: Le Strade Nuove and the system of the Palazzi dei Rolli,http://en.wikipedia.org/wiki/Palazzi_dei_Rolli,N44 24 44 E8 55 52,Italy,(ii)(iv),2006,16.0,1211.0,"Liguria Region, Genoa Province"
http://whc.unesco.org/en/list/369,Giant's Causeway and Causeway Coast,http://en.wikipedia.org/wiki/Giant%27s_Causeway,N55 15 0 W6 29 7,United Kingdom of Great Britain and Northern Ireland,(vii)(viii),1986,70.0,369.0,"County Antrim, Northern Ireland"
http://whc.unesco.org/en/list/1076,Gobustan Rock Art Cultural Landscape,http://en.wikipedia.org/wiki/Gobustan_Rock_Art_Cultural_Landscape,N40 7 30 E49 22 30,Azerbaijan,(iii),2007,537.0,1076.0,"Garadagh District and Apsheron District, Baku City Administrative Territory"
http://whc.unesco.org/en/list/977,"Gochang, Hwasun and Ganghwa Dolmen Sites","http://en.wikipedia.org/wiki/Gochang,_Hwasun_and_Ganghwa_Dolmen_Sites",N34 58 0.012 E126 55 45.012,"Korea, Republic of",(iii),2000,52.0,977.0,"Koch'ang-gun County, Chollabuk-do Province; Hwasun-gun County, Chollanam-do Province; Kangwha-gun County, Inch'on Province"
http://whc.unesco.org/en/list/768,Golden Mountains of Altai,http://en.wikipedia.org/wiki/Golden_Mountains_of_Altai,N50 28 0 E86 0 0,Russian Federation,(x),1998,1611457.0,768.0,"450 km southwest of Novosibirsk, in the Altai Republic"
http://whc.unesco.org/en/list/561,Golden Temple of Dambulla,http://en.wikipedia.org/wiki/Dambulla_cave_temple,N7 51 24 E80 38 57,Sri Lanka,(i)(vi),1991,,561.0,"Central Province, Matale District"
http://whc.unesco.org/en/list/368,Gondwana Rainforests of Australia,http://en.wikipedia.org/wiki/Gondwana_Rainforests_of_Australia,S28 15 0 E150 3 0,Australia,(viii)(ix)(x),1986,370000.0,368.0,States of New South Wales and Queensland
http://whc.unesco.org/en/list/357,GÃ¶reme National Park and the Rock Sites of Cappadocia,http://en.wikipedia.org/wiki/G%25C3%25B6reme,N38 40 0.012 E34 51 0,Turkey,(i)(iii)(v)(vii),1985,9576.0,357.0,NevÅehir Province (Cappadocia) in Central Anatolia
http://whc.unesco.org/en/list/740,Gough and Inaccessible Islands,http://en.wikipedia.org/wiki/Inaccessible_Island,S40 19 29 W9 55 43,United Kingdom of Great Britain and Northern Ireland,(vii)(x),1995,7900.0,740.0,"Tristan da Cunha Island group, St Helena Dependency"
http://whc.unesco.org/en/list/75,Grand Canyon National Park,http://en.wikipedia.org/wiki/Grand_Canyon_National_Park,N36 6 3 W112 5 26,United States of America,(vii)(viii)(ix)(x),1979,493077.0,75.0,Counties of Coconino and Mohave in the State of Arizona
